system,seed,method,step,sd_nmae
building_energy,43,blend_persistence,22,0.3999897122541189
building_energy,43,blend_persistence,23,0.41666929132324865
building_energy,43,blend_persistence,24,0.4291257931764662
building_energy,43,blend_history,1,0.040815157349190924
building_energy,43,blend_history,2,0.06696719878795669
building_energy,43,blend_history,3,0.09281679991178492
building_energy,43,blend_history,4,0.11528907334122217
building_energy,43,blend_history,5,0.13907929593834734
building_energy,43,blend_history,6,0.15434108438205804
building_energy,43,blend_history,7,0.17328983254702002
building_energy,43,blend_history,8,0.18977318130091836
building_energy,43,blend_history,9,0.2145062506151429
building_energy,43,blend_history,10,0.23454423600090965
building_energy,43,blend_history,11,0.24732829314615237
building_energy,43,blend_history,12,0.255086639174172
building_energy,43,blend_history,13,0.26662449147893597
building_energy,43,blend_history,14,0.280436783411118
building_energy,43,blend_history,15,0.29218899760483447
building_energy,43,blend_history,16,0.3049032160723778
building_energy,43,blend_history,17,0.32119322472037926
building_energy,43,blend_history,18,0.33283688353367674
building_energy,43,blend_history,19,0.3415547139315476
building_energy,43,blend_history,20,0.35427962911798394
building_energy,43,blend_history,21,0.3674053339223331
building_energy,43,blend_history,22,0.38367954845063096
building_energy,43,blend_history,23,0.400846458790661
building_energy,43,blend_history,24,0.4133553322661688
building_energy,71,moirai,1,0.045104756607649656
building_energy,71,moirai,2,0.06648722733324243
building_energy,71,moirai,3,0.09167870190566409
building_energy,71,moirai,4,0.11260491808007203
building_energy,71,moirai,5,0.13693774131989808
building_energy,71,moirai,6,0.15192213998879026
building_energy,71,moirai,7,0.17069987568464925
building_energy,71,moirai,8,0.18678016309389678
building_energy,71,moirai,9,0.21165264939340464
building_energy,71,moirai,10,0.23215206293683058
building_energy,71,moirai,11,0.2436603765245891
building_energy,71,moirai,12,0.2517748601493552
building_energy,71,moirai,13,0.2628296732416724
building_energy,71,moirai,14,0.27830740064164233
building_energy,71,moirai,15,0.291104866530268
building_energy,71,moirai,16,0.3035129391041425
building_energy,71,moirai,17,0.3317444787780011
building_energy,71,moirai,18,0.34525686639801795
building_energy,71,moirai,19,0.35486172749943906
