method,backbone,system,batch_size,median_ms,mean_ms,p95_ms,windows_per_second,resident_allocated_mib,total_peak_allocated_mib,incremental_peak_allocated_mib,peak_reserved_mib,backbone_calls_per_window,gpu_uuid,exclusive_checks_before_and_after_every_measurement
timer_xl_gaugeformer,timer_xl,metropt,1,85.67909899284132,85.32974200206809,87.77349552256055,11.719243215053476,265.634765625,267.79052734375,2.15576171875,292.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl,timer_xl,metropt,8,17.9550820030272,18.069190700771287,19.272248330526054,442.74257394707325,265.67041015625,269.88720703125,4.216796875,292.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl_gaugeformer,timer_xl,metropt,8,90.89149150531739,88.3002624992514,97.31729641207494,90.59995716397584,265.67041015625,269.94970703125,4.279296875,292.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl,timer_xl,pmsm,1,15.393012523418292,15.596470702439547,16.67708753957413,64.11706975755634,265.6337890625,267.4736328125,1.83984375,292.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl_gaugeformer,timer_xl,pmsm,1,86.88438902026974,86.98000964941457,98.45701000303963,11.496894562677605,265.6337890625,267.48388671875,1.85009765625,292.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl,timer_xl,pmsm,8,23.112887021852657,23.329071700572968,26.1854474170832,342.9197742061686,265.66455078125,269.36474609375,3.7001953125,292.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl_gaugeformer,timer_xl,pmsm,8,87.09193652612157,80.44846910925116,118.60451063839719,99.44253866578602,265.66455078125,269.43505859375,3.7705078125,292.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl,timer_xl,steel_industry,1,12.597766530234367,12.34221464546863,16.81339800124988,81.02273609113936,265.6318359375,266.80322265625,1.17138671875,292.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl_gaugeformer,timer_xl,steel_industry,1,83.24743603589013,81.56533779983874,90.16853015928064,12.260109833100907,265.6318359375,266.8076171875,1.17578125,292.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl,timer_xl,steel_industry,8,22.298752970527858,22.36340994713828,23.700490535702556,357.7271989786028,265.64697265625,267.99951171875,2.3525390625,292.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
timer_xl_gaugeformer,timer_xl,steel_industry,8,87.32718150713481,87.73785234370735,115.63482588971965,91.18071375465767,265.64697265625,268.03271484375,2.3857421875,292.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
