regime,system,seed,block,elements_per_channel,gaugeformer_v13,moirai,gain
few1,building_energy,29,building_energy:segment-0:day-125,144,0.25336859823583135,0.2804763764852415,0.02710777824941013
few1,building_energy,29,building_energy:segment-0:day-126,144,0.23268688454481884,0.22646301364339205,-0.006223870901426787
few1,building_energy,29,building_energy:segment-0:day-127,144,0.2818638381946333,0.28161443701878386,-0.00024940117584942856
few1,building_energy,29,building_energy:segment-0:day-128,144,0.19744136870136345,0.20116387262158092,0.0037225039202174737
few1,building_energy,29,building_energy:segment-0:day-129,144,0.23708329672708806,0.24814043396887017,0.011057137241782117
few1,building_energy,29,building_energy:segment-0:day-130,144,0.22816225874835452,0.22878914848664383,0.0006268897382893102
few1,building_energy,29,building_energy:segment-0:day-131,144,0.17002433669640926,0.16837028095081058,-0.0016540557455986815
few1,building_energy,29,building_energy:segment-0:day-132,144,0.20619275431678208,0.22245335146404283,0.016260597147260747
few1,building_energy,29,building_energy:segment-0:day-133,144,0.21914635206326508,0.22773027491081285,0.008583922847547776
few1,building_energy,29,building_energy:segment-0:day-134,144,0.291144835663136,0.3025418179285162,0.011396982265380218
few1,building_energy,29,building_energy:segment-0:day-135,144,0.27622971626718823,0.2698993618224025,-0.006330354444785746
few1,building_energy,29,building_energy:segment-0:day-136,120,0.30348786394753113,0.30328851992794453,-0.0001993440195866003
few1,building_energy,43,building_energy:segment-0:day-110,120,0.2543070897797398,0.2543070897797398,0.0
few1,building_energy,43,building_energy:segment-0:day-111,144,0.2919552920490477,0.2919552920490477,0.0
few1,building_energy,43,building_energy:segment-0:day-112,144,0.23727955489457336,0.23821209133450694,0.0009325364399335734
few1,building_energy,43,building_energy:segment-0:day-113,144,0.28426046524569093,0.27411092378133534,-0.010149541464355594
few1,building_energy,43,building_energy:segment-0:day-114,144,0.2364750641477205,0.23188490443608759,-0.004590159711632902
few1,building_energy,43,building_energy:segment-0:day-115,144,0.26098823613241773,0.25539482513513034,-0.005593410997287385
